original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
Aoki Ryuusei SPT Layzner: ACT-I Eiji 1996,0,0.62,0,55.0,6.0,1,日本語,1986,SUNRISE,Animation Action Adventure War Science Fiction Drama
Vale Tudo Japan 1996,0,0.6,0,0.0,0.0,0,,1996,,
Fax Me/ Homerun 1996,0,0.6,0,5.0,0.0,0,,1996,,
ECW Holiday Hell 1996,0,0.6,0,86.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
Snoop Doggy Dogg: Smokefest 1996 Tour Video,0,1.4,0,55.0,0.0,0,English,,,Documentary Comedy Music
The Ramones: It's Alive 1974-1996,0,1.206,0,0.0,8.0,2,,2007,,
ECW When Worlds Collide 1996,0,0.805,0,85.0,0.0,0,English,1996,Extreme Championship Wrestling (ECW),
Heaven's Gate Initiation Tape 1996,0,0.6,0,30.0,0.0,0,,1996,,
"Sepultura: [1996] Ghent, Belgium",0,0.6,0,0.0,0.0,0,,1996,,
"Sepultura: [1996] Hamburg, Germany",0,0.6,0,0.0,0.0,0,,1991,,
"Danzig: [1996] Auburn Hills, Michigan",0,0.841,0,0.0,0.0,0,,1996,,
Sepultura: [1996] Dr. Music Festival,0,0.6,0,0.0,0.0,0,,1996,,
Timeline: The History of ECW 1996,0,0.87,0,0.0,10.0,1,,,,
ECW vs IWA JAPAN 1996,0,0.6,0,0.0,0.0,0,,1996,,
Merzbow: Live in Germany 1996,0,0.6,0,60.0,0.0,0,,2001,,Music
FMW Year End Spectacular 1996,0,0.6,0,149.0,0.0,0,,1996,,
Radiohead: Live at Pinkpop 1996,0,0.6,0,65.0,0.0,0,,,,
David Bowie ‎– Loreley Festival 1996,0,0.6,0,0.0,0.0,0,,,,
Tool Live The Glass House  1996,0,0.6,0,87.0,0.0,0,,2015,,
Playboy Video Playmate Calendar 1996,0,0.6,0,56.0,1.0,1,English,1995,Playboy Enterprises,Documentary
X Japan - Dahlia Tour Final 1996,0,0.6,0,203.0,8.5,1,日本語,2002,Universal Music & Video Distribution,Music
Suede - Live at the Roundhouse 1996,0,0.6,0,46.0,0.0,0,,1996,Crispy Mackerel Films,Music
Janet Jackson: Design of a Decade 1986/1996,0,1.4,0,90.0,7.7,7,English,1995,A&M Records,Music
"Bush: [1996] New York, NY",0,0.6,0,0.0,0.0,0,,1996,,
"Dio: [1996] Las Vegas, Nevada",0,0.6,0,0.0,0.0,0,,1996,,
"In Flames: [1996] Klangwerk, Germany",0,0.6,0,0.0,0.0,0,,1996,,
Michael Jackson live in Brunei Royal Concert 1996,0,1.183,0,0.0,7.1,5,English,1996,,Music
Wayne Shorter: Live at Montreux 1996,0,0.621,0,0.0,10.0,1,,1996,,Music
